datetime,city,country,latitude,longitude,temperature,humidity,pressure,wind_direction,wind_speed,weather_condition
2017-10-22 16:00:00,Vancouver,Canada,49.24966,-123.119339,283.35,81.0,1012.0,230.0,4.0,foggy
2013-09-28 20:00:00,Vancouver,Canada,49.24966,-123.119339,287.15,93.0,994.0,170.0,8.0,thunderstorm
2013-10-10 12:00:00,Vancouver,Canada,49.24966,-123.119339,282.5,81.0,1014.0,90.0,2.0,cloudy
2013-10-13 22:00:00,Vancouver,Canada,49.24966,-123.119339,288.16,82.0,1026.0,300.0,1.0,sunny
2013-10-19 21:00:00,Vancouver,Canada,49.24966,-123.119339,282.126666667,97.0,1025.0,264.0,1.0,sunny
2013-10-25 03:00:00,Vancouver,Canada,49.24966,-123.119339,280.15,100.0,1018.0,95.0,1.0,cloudy
2013-10-30 06:00:00,Vancouver,Canada,49.24966,-123.119339,276.1245,93.0,1030.0,48.0,1.0,sunny
2013-11-20 23:00:00,Vancouver,Canada,49.24966,-123.119339,276.11,64.0,1030.0,240.0,2.0,snowy
2013-12-11 15:00:00,Vancouver,Canada,49.24966,-123.119339,274.28,90.0,1027.0,230.0,0.0,sunny
2013-12-23 06:00:00,Vancouver,Canada,49.24966,-123.119339,277.21,98.0,1023.0,74.0,1.0,foggy
2014-01-05 08:00:00,Vancouver,Canada,49.24966,-123.119339,272.93,96.0,1032.0,230.0,0.0,sunny
2014-01-05 12:00:00,Vancouver,Canada,49.24966,-123.119339,271.51,96.0,1033.0,230.0,0.0,sunny
2014-01-11 09:00:00,Vancouver,Canada,49.24966,-123.119339,279.86,95.0,1004.0,230.0,0.0,foggy
2014-01-29 01:00:00,Vancouver,Canada,49.24966,-123.119339,279.4,100.0,1021.0,280.0,3.0,cloudy
2014-02-13 07:00:00,Vancouver,Canada,49.24966,-123.119339,277.81,87.0,1005.0,90.0,4.0,rainy
2014-03-05 11:00:00,Vancouver,Canada,49.24966,-123.119339,276.29,93.0,1008.0,0.0,0.0,cloudy
2014-03-24 12:00:00,Vancouver,Canada,49.24966,-123.119339,277.9,75.0,1023.0,80.0,2.0,cloudy
2014-04-14 03:00:00,Vancouver,Canada,49.24966,-123.119339,286.28,66.0,1024.0,300.0,3.0,cloudy
2014-04-18 01:00:00,Vancouver,Canada,49.24966,-123.119339,283.35,87.0,1005.0,140.0,5.0,rainy
2014-04-25 12:00:00,Vancouver,Canada,49.24966,-123.119339,279.1,93.0,1012.0,90.0,3.0,cloudy
2014-05-13 12:00:00,Vancouver,Canada,49.24966,-123.119339,287.51,65.0,1028.0,7.0,0.0,cloudy
2014-05-23 11:00:00,Vancouver,Canada,49.24966,-123.119339,287.23,100.0,1014.0,100.0,2.0,rainy
2014-05-28 07:00:00,Vancouver,Canada,49.24966,-123.119339,284.03,87.0,1019.0,100.0,3.0,cloudy
2014-06-10 07:00:00,Vancouver,Canada,49.24966,-123.119339,287.73,67.0,1018.0,254.0,2.0,cloudy
2014-06-15 20:00:00,Vancouver,Canada,49.24966,-123.119339,287.46,79.0,1013.0,9.0,0.0,rainy
2014-06-16 09:00:00,Vancouver,Canada,49.24966,-123.119339,283.57,87.0,1010.0,120.0,4.0,thunderstorm
2014-06-27 08:00:00,Vancouver,Canada,49.24966,-123.119339,288.29,98.0,1008.0,126.0,2.0,thunderstorm
2014-07-24 10:00:00,Vancouver,Canada,49.24966,-123.119339,286.48381217,94.0,1035.0,171.0,4.0,rainy
2014-08-12 10:00:00,Vancouver,Canada,49.24966,-123.119339,293.75,82.0,1009.0,320.0,2.0,cloudy
2014-08-19 19:00:00,Vancouver,Canada,49.24966,-123.119339,293.81,56.0,1011.0,280.0,5.0,cloudy
2015-09-02 10:00:00,Vancouver,Canada,49.24966,-123.119339,285.4,93.0,1006.0,140.0,4.0,thunderstorm
2015-09-02 20:00:00,Vancouver,Canada,49.24966,-123.119339,288.24,71.0,1008.0,250.0,2.0,thunderstorm
2015-09-13 16:00:00,Vancouver,Canada,49.24966,-123.119339,288.11,51.0,1014.0,360.0,3.0,foggy
2015-09-24 00:00:00,Vancouver,Canada,49.24966,-123.119339,290.01,72.0,1016.0,330.0,1.0,thunderstorm
2015-09-30 21:00:00,Vancouver,Canada,49.24966,-123.119339,292.16,72.0,1015.0,260.0,1.0,sunny
2015-10-02 03:00:00,Vancouver,Canada,49.24966,-123.119339,286.68,87.0,1017.0,170.0,2.0,foggy
2015-10-17 14:00:00,Vancouver,Canada,49.24966,-123.119339,284.95,93.0,1010.0,25.0,1.0,foggy
2015-11-25 17:00:00,Vancouver,Canada,49.24966,-123.119339,274.19,86.0,1028.0,10.0,1.0,sunny
2015-12-05 07:00:00,Vancouver,Canada,49.24966,-123.119339,278.95,87.0,1018.0,130.0,5.0,snowy
2015-12-09 13:00:00,Vancouver,Canada,49.24966,-123.119339,279.56,87.0,995.0,190.0,4.0,snowy
2016-01-02 12:00:00,Vancouver,Canada,49.24966,-123.119339,268.76,100.0,1024.0,50.0,2.0,snowy
2016-01-04 01:00:00,Vancouver,Canada,49.24966,-123.119339,272.24,100.0,1014.0,40.0,1.0,snowy
2016-01-04 05:00:00,Vancouver,Canada,49.24966,-123.119339,272.96,80.0,1012.0,320.0,1.0,snowy
2016-01-05 00:00:00,Vancouver,Canada,49.24966,-123.119339,273.54,100.0,1007.0,270.0,3.0,foggy
2016-01-07 08:00:00,Vancouver,Canada,49.24966,-123.119339,274.51,100.0,1008.0,320.0,3.0,foggy
2016-01-10 09:00:00,Vancouver,Canada,49.24966,-123.119339,273.55,100.0,1025.0,140.0,1.0,foggy
2016-01-11 12:00:00,Vancouver,Canada,49.24966,-123.119339,271.272006597,98.0,1020.0,77.0,1.0,sunny
2016-01-12 00:00:00,Vancouver,Canada,49.24966,-123.119339,275.47,93.0,1020.0,100.0,4.0,foggy
2016-01-20 09:00:00,Vancouver,Canada,49.24966,-123.119339,273.21,87.0,1011.0,61.0,0.0,rainy
2016-01-21 11:00:00,Vancouver,Canada,49.24966,-123.119339,278.882220521,94.0,1017.0,83.0,3.0,rainy
2016-01-21 22:00:00,Vancouver,Canada,49.24966,-123.119339,282.02839952,93.0,1007.0,73.0,6.0,cloudy
2016-02-07 16:00:00,Vancouver,Canada,49.24966,-123.119339,276.11,100.0,1034.0,57.0,1.0,snowy
2016-02-08 07:00:00,Vancouver,Canada,49.24966,-123.119339,275.05,81.0,1034.0,10.0,2.0,snowy
2016-02-12 03:00:00,Vancouver,Canada,49.24966,-123.119339,281.56,93.0,1019.0,100.0,2.0,foggy
2016-02-14 16:00:00,Vancouver,Canada,49.24966,-123.119339,279.66,93.0,1019.0,90.0,3.0,foggy
2016-03-08 17:00:00,Vancouver,Canada,49.24966,-123.119339,280.02,81.0,1014.0,90.0,5.0,rainy
2016-03-12 09:00:00,Vancouver,Canada,49.24966,-123.119339,282.17,87.0,997.0,90.0,5.0,rainy
2016-05-04 04:00:00,Vancouver,Canada,49.24966,-123.119339,289.63,93.0,1017.0,250.0,4.0,rainy
2016-05-07 15:00:00,Vancouver,Canada,49.24966,-123.119339,285.74,67.0,1015.0,340.0,3.0,sunny
2016-06-01 22:00:00,Vancouver,Canada,49.24966,-123.119339,293.84,55.0,1012.0,180.0,3.0,rainy
2016-06-02 00:00:00,Vancouver,Canada,49.24966,-123.119339,290.8,67.0,1013.0,170.0,2.0,rainy
2016-06-12 03:00:00,Vancouver,Canada,49.24966,-123.119339,288.38,63.0,1023.0,40.0,2.0,cloudy
2016-07-03 12:00:00,Vancouver,Canada,49.24966,-123.119339,288.4,87.0,1017.0,200.0,4.0,cloudy
2016-07-07 16:00:00,Vancouver,Canada,49.24966,-123.119339,287.87,87.0,1013.0,190.0,2.0,foggy
2016-07-19 03:00:00,Vancouver,Canada,49.24966,-123.119339,291.088,79.0,1014.0,173.0,1.0,cloudy
2016-07-22 13:00:00,Vancouver,Canada,49.24966,-123.119339,289.96,82.0,1019.0,100.0,7.0,thunderstorm
2016-07-30 19:00:00,Vancouver,Canada,49.24966,-123.119339,293.6,63.0,1014.0,360.0,2.0,sunny
2016-08-02 15:00:00,Vancouver,Canada,49.24966,-123.119339,287.45,77.0,1017.0,80.0,7.0,thunderstorm
2016-08-03 09:00:00,Vancouver,Canada,49.24966,-123.119339,288.4,93.0,1003.0,300.0,3.0,cloudy
2016-08-15 12:00:00,Vancouver,Canada,49.24966,-123.119339,289.81,87.0,1017.0,140.0,2.0,sunny
2016-08-18 14:00:00,Vancouver,Canada,49.24966,-123.119339,290.13,87.0,1018.0,300.0,8.0,sunny
2012-10-10 10:00:00,Vancouver,Canada,49.24966,-123.119339,282.69,85.0,1016.0,80.0,1.0,sunny
2012-10-30 20:00:00,Vancouver,Canada,49.24966,-123.119339,283.19,93.0,1011.0,70.0,1.0,sunny
2012-11-12 07:00:00,Vancouver,Canada,49.24966,-123.119339,278.18,50.0,1013.0,118.0,3.0,sunny
2012-11-30 11:00:00,Vancouver,Canada,49.24966,-123.119339,282.95,84.0,1013.0,111.0,5.0,rainy
2013-01-14 19:00:00,Vancouver,Canada,49.24966,-123.119339,267.75,92.0,1034.0,0.0,0.0,snowy
2013-03-24 02:00:00,Vancouver,Canada,49.24966,-123.119339,278.91,52.0,1100.0,3.0,0.0,sunny
2013-05-07 08:00:00,Vancouver,Canada,49.24966,-123.119339,288.58,72.0,1009.0,0.0,0.0,sunny
2013-06-13 14:00:00,Vancouver,Canada,49.24966,-123.119339,284.38,90.0,1093.0,150.0,0.0,foggy
2013-06-21 14:00:00,Vancouver,Canada,49.24966,-123.119339,284.351,100.0,1033.0,101.0,1.0,rainy
2013-06-22 16:00:00,Vancouver,Canada,49.24966,-123.119339,287.863,80.0,1030.0,112.0,1.0,cloudy
2013-06-27 07:00:00,Vancouver,Canada,49.24966,-123.119339,288.8,88.0,1009.0,176.0,3.0,rainy
2013-07-08 08:00:00,Vancouver,Canada,49.24966,-123.119339,290.83,82.0,1011.0,132.0,0.0,cloudy
2013-07-15 05:00:00,Vancouver,Canada,49.24966,-123.119339,290.6,74.0,1020.0,278.0,1.0,sunny
2013-07-22 19:00:00,Vancouver,Canada,49.24966,-123.119339,294.1,75.0,993.0,150.0,1.0,cloudy
2013-08-29 19:00:00,Vancouver,Canada,49.24966,-123.119339,292.72,91.0,1012.0,303.0,0.0,rainy
2014-10-11 02:00:00,Vancouver,Canada,49.24966,-123.119339,286.93,93.0,1016.0,80.0,4.0,rainy
2014-10-11 16:00:00,Vancouver,Canada,49.24966,-123.119339,285.18,93.0,1015.0,150.0,2.0,thunderstorm
2014-10-27 10:00:00,Vancouver,Canada,49.24966,-123.119339,281.93,87.0,1021.0,80.0,3.0,cloudy
2014-11-17 07:00:00,Vancouver,Canada,49.24966,-123.119339,273.861568407,100.0,1031.0,273.0,2.0,sunny
2014-11-24 20:00:00,Vancouver,Canada,49.24966,-123.119339,279.349607069,91.0,1030.0,67.0,2.0,rainy
2014-12-01 09:00:00,Vancouver,Canada,49.24966,-123.119339,270.33,85.0,1021.0,100.0,3.0,cloudy
2014-12-01 17:00:00,Vancouver,Canada,49.24966,-123.119339,268.97,85.0,1021.0,100.0,3.0,snowy
2014-12-07 12:00:00,Vancouver,Canada,49.24966,-123.119339,281.14,93.0,1023.0,90.0,2.0,cloudy
2014-12-23 19:00:00,Vancouver,Canada,49.24966,-123.119339,278.32,93.0,1022.0,60.0,5.0,foggy
2015-01-10 06:00:00,Vancouver,Canada,49.24966,-123.119339,278.305,100.0,1020.0,133.0,1.0,cloudy
2015-01-21 22:00:00,Vancouver,Canada,49.24966,-123.119339,278.91,100.0,1026.0,248.0,0.0,cloudy
2015-02-24 20:00:00,Vancouver,Canada,49.24966,-123.119339,280.612,100.0,1029.0,82.0,0.0,sunny
2015-03-11 04:00:00,Vancouver,Canada,49.24966,-123.119339,281.332666667,96.0,1022.0,211.0,1.0,cloudy
2015-04-01 05:00:00,Vancouver,Canada,49.24966,-123.119339,280.504333333,81.0,1033.0,250.0,2.0,rainy
2015-04-17 15:00:00,Vancouver,Canada,49.24966,-123.119339,281.6125,83.0,1036.0,93.0,1.0,cloudy
2015-05-22 00:00:00,Vancouver,Canada,49.24966,-123.119339,292.41,72.0,1012.0,297.0,3.0,sunny
2015-06-07 22:00:00,Vancouver,Canada,49.24966,-123.119339,295.857,67.0,1011.0,248.0,1.0,sunny
2015-06-23 20:00:00,Vancouver,Canada,49.24966,-123.119339,293.823,53.0,1013.0,216.0,1.0,sunny
2015-07-07 11:00:00,Vancouver,Canada,49.24966,-123.119339,290.26,87.0,1015.0,190.0,5.0,foggy
2015-07-18 18:00:00,Vancouver,Canada,49.24966,-123.119339,296.98,77.0,1017.0,330.0,3.0,sunny
2015-07-18 23:00:00,Vancouver,Canada,49.24966,-123.119339,302.07,56.0,1015.0,350.0,2.0,sunny
2015-08-18 21:00:00,Vancouver,Canada,49.24966,-123.119339,299.01,77.0,1017.0,350.0,2.0,sunny
2015-08-30 00:00:00,Vancouver,Canada,49.24966,-123.119339,291.83,68.0,1004.0,170.0,4.0,thunderstorm
