datetime,city,country,latitude,longitude,temperature,humidity,pressure,wind_direction,wind_speed,weather_condition
2016-08-30 06:00:00,Vancouver,Canada,49.24966,-123.119339,290.75,68.0,1015.0,130.0,4.0,cloudy
2016-08-30 07:00:00,Vancouver,Canada,49.24966,-123.119339,289.76,72.0,1015.0,150.0,3.0,cloudy
2016-08-30 08:00:00,Vancouver,Canada,49.24966,-123.119339,289.1,72.0,1015.0,120.0,2.0,rainy
2016-08-30 09:00:00,Vancouver,Canada,49.24966,-123.119339,288.55,82.0,1015.0,110.0,1.0,rainy
2016-08-30 10:00:00,Vancouver,Canada,49.24966,-123.119339,288.61,82.0,1015.0,90.0,3.0,cloudy
2016-08-30 11:00:00,Vancouver,Canada,49.24966,-123.119339,288.31,93.0,1015.0,110.0,3.0,cloudy
2016-08-30 12:00:00,Vancouver,Canada,49.24966,-123.119339,288.16,87.0,1016.0,110.0,5.0,cloudy
2016-08-30 13:00:00,Vancouver,Canada,49.24966,-123.119339,287.7,93.0,1016.0,100.0,5.0,cloudy
2016-08-30 14:00:00,Vancouver,Canada,49.24966,-123.119339,287.14,93.0,1016.0,100.0,5.0,rainy
2016-08-30 15:00:00,Vancouver,Canada,49.24966,-123.119339,286.77,93.0,1016.0,100.0,5.0,rainy
2016-08-30 16:00:00,Vancouver,Canada,49.24966,-123.119339,288.45,87.0,1016.0,100.0,6.0,rainy
2016-08-30 17:00:00,Vancouver,Canada,49.24966,-123.119339,290.39,87.0,1016.0,100.0,6.0,rainy
2016-08-30 18:00:00,Vancouver,Canada,49.24966,-123.119339,291.4,93.0,1013.0,160.0,1.0,cloudy
2016-08-30 19:00:00,Vancouver,Canada,49.24966,-123.119339,291.61,87.0,1012.0,290.0,1.0,rainy
2016-08-30 20:00:00,Vancouver,Canada,49.24966,-123.119339,292.79,64.0,1015.0,140.0,5.0,cloudy
2016-08-30 21:00:00,Vancouver,Canada,49.24966,-123.119339,293.36,64.0,1015.0,140.0,3.0,cloudy
2016-08-30 22:00:00,Vancouver,Canada,49.24966,-123.119339,293.9,60.0,1015.0,150.0,4.0,rainy
2016-08-30 23:00:00,Vancouver,Canada,49.24966,-123.119339,293.84,60.0,1014.0,130.0,4.0,rainy
2016-08-31 00:00:00,Vancouver,Canada,49.24966,-123.119339,293.09,56.0,1014.0,140.0,4.0,rainy
2016-08-31 01:00:00,Vancouver,Canada,49.24966,-123.119339,293.16,56.0,1014.0,140.0,6.0,rainy
2016-08-31 02:00:00,Vancouver,Canada,49.24966,-123.119339,292.57,60.0,1014.0,130.0,5.0,rainy
2016-08-31 03:00:00,Vancouver,Canada,49.24966,-123.119339,291.59,68.0,1014.0,100.0,6.0,cloudy
2016-08-31 04:00:00,Vancouver,Canada,49.24966,-123.119339,290.74,72.0,1014.0,100.0,4.0,cloudy
2016-08-31 05:00:00,Vancouver,Canada,49.24966,-123.119339,289.86,72.0,1014.0,100.0,5.0,cloudy
2016-08-31 06:00:00,Vancouver,Canada,49.24966,-123.119339,290.21,68.0,1015.0,100.0,5.0,cloudy
2016-08-31 07:00:00,Vancouver,Canada,49.24966,-123.119339,289.93,68.0,1015.0,100.0,4.0,cloudy
2016-08-31 08:00:00,Vancouver,Canada,49.24966,-123.119339,289.32,68.0,1015.0,90.0,4.0,cloudy
2016-08-31 09:00:00,Vancouver,Canada,49.24966,-123.119339,288.98,63.0,1014.0,100.0,5.0,rainy
2016-08-31 10:00:00,Vancouver,Canada,49.24966,-123.119339,288.8,68.0,1014.0,100.0,4.0,rainy
2016-08-31 11:00:00,Vancouver,Canada,49.24966,-123.119339,289.16,68.0,1014.0,80.0,4.0,rainy
2016-08-31 12:00:00,Vancouver,Canada,49.24966,-123.119339,289.66,72.0,1014.0,130.0,6.0,rainy
2016-08-31 13:00:00,Vancouver,Canada,49.24966,-123.119339,288.56,87.0,1014.0,100.0,4.0,rainy
2016-08-31 14:00:00,Vancouver,Canada,49.24966,-123.119339,288.24,87.0,1014.0,70.0,5.0,foggy
2016-08-31 15:00:00,Vancouver,Canada,49.24966,-123.119339,288.29,87.0,1014.0,80.0,3.0,foggy
